Hotel Name,Location,City,Price,Geocode,Date,Nights,Total Price,,,,,,,,,,,
Mercure Hefei Sunac,"No 356 Wannianbu Road, Hefei, China",Hefei,53,"31.703723568013228, 117.30718297953513",24/8-25/8,1,53,,,,,,,,,,,
Novotel Hefei Sunac,"Hefei Sunac Area, Hefei, China",Hefei,48,"31.701578979816716, 117.30750845567935",24/8-25/8,1,48,,,,,,,,,,,
Atour Hotel Hefei Binhu Times Square Branch,"Binhu Times Square, Hefei, China",Hefei,55,"31.71376312089739, 117.29874281937597",24/8-25/8,1,55,,,,,,,,,,,
PARKPLAZA HEFEI,"No. 8039 Fanhua Avenue, Near Center, Hefei, China",Hefei,56,,24/8-25/8,1,56,,,,,,,,,,,
Atour Hotel (Hangzhou Zhongshan North Road),"No. 101-2, North Zhongshan Road, Xiacheng, Hangzhou, China",Hangzhou,107,,25/8-27/8,2,214,,,,,,,,,,,
Mercure Hangzhou West Lake Yuquan,"136 Yugu Road Xihu District Hangzhou, West Lake District – Xixi Wetland Park, Hangzhou, China, 310012",Hangzhou,119,"30.258630894883396, 120.12328292159181",25/8-27/8,2,238,,,,,,,,,,,
Friendship Hotel Hangzhou （West lake）,"No. 53 Pinghai Road, Shangcheng District, Hangzhou, China",Hangzhou,109,,25/8-27/8,2,218,,,,,,,,,,,
SkyBird Hotel (West Lake Hefang Street),"No. 193, Zhongshan Middle Road, Shangcheng District, ShangCheng District & Hangzhou Main Train Station, Hangzhou, China, 310000",Hangzhou,79,"30.244013673349805, 120.17036064270032",25/8-27/8,2,158,,,,,,,,,,,
EVEN Hotel Hangzhou West Lake by IHG,"Building B, Dongfang Jinzuo, Shangcheng District, ShangCheng District & Hangzhou Main Train Station, Hangzhou, China, 310000",Hangzhou,156,"30.25344063734822, 120.16948282252365",25/8-27/9,2,312,,,,,,,,,,,
Atour Hotel Hangzhou Pinghai Road Hubin West Lake,"No. 8 Pinghai raod, shangcheng district & Hangzhou Main Train Station, 310000",Hangzhou,102,"30.255284794752335, 120.17000612343814",25/8-27/9,2,204,,,,,,,,,,,
Nostalgia S Hotel - Hangzhou West Lake Intime,"No. 56, Hefang Street, Shangcheng District, Hangzhou City, Zhejiang Province, ShangCheng District & Hangzhou Main Train Station, Hangzhou, China, 310000",Hangzhou,80,"30.24060533623071, 120.17461713718558",25/8-27/10,2,160,,,,,,,,,,,
Crystal Hotel Hangzhou West Lake Nanshan Road,"Nanshan Road, West Lake, Hangzhou, China",Hangzhou,117,,25/8-27/8,2,234,,,,,,,,,,,
Atour Hotel Suzhou Dushu Lake Higher Education Area Xinghu Street,"No. 116 Dongyan Road, Jinji Lake and Suzhou Expo Center, Suzhou, China, 215000",Suzhou,94,"31.28731688033076, 120.72908746648432",27/8-28/8,1,94,,,,,,,,,,,
Hampton by Hilton Suzhou Guanqian Street,"No. 9-69 Pishi Street, Gusu District, Suzhou, Guanqian/Shilu/Shiquan Street City Center, Suzhou, China, 215005",Suzhou,112,"31.312656452329826, 120.6249845577426",27/8-28/8,1,112,,,,,,,,,,,
